category,filename,LL_Mean,LL_Std_Dev,LL_Variance,LL_Energy,LL_Entropy,LL_Contrast,LL_Homogeneity,LH_Mean,LH_Std_Dev,LH_Variance,LH_Energy,LH_Entropy,LH_Contrast,LH_Homogeneity,HL_Mean,HL_Std_Dev,HL_Variance,HL_Energy,HL_Entropy,HL_Contrast,HL_Homogeneity,HH_Mean,HH_Std_Dev,HH_Variance,HH_Energy,HH_Entropy,HH_Contrast,HH_Homogeneity,LL_LH_Correlation,LL_HL_Correlation,LL_HH_Correlation,LH_HL_Correlation,LH_HH_Correlation,HL_HH_Correlation
styrofoam,20-scale_2_im_2_grey.png,1.035905427,0.079407993,0.006305629,17684.9827,8.152695666,0.079407993,0.993733882,5.42E-20,0.049913363,0.002491344,40.81817762,9.30064829,0.049913363,0.997514848,2.03E-20,0.06259063,0.003917587,64.18574394,9.025233681,0.06259063,0.996097701,-4.91E-20,0.040210694,0.0016169,26.49128797,9.196585617,0.040210694,0.99838571,1.88E-17,4.16E-18,-0.074236158,0.075874374,5.47E-19,2.69E-18
styrofoam,20-scale_2_im_3_grey.png,1.028659716,0.138304482,0.01912813,17649.97433,9.028116477,0.138304482,0.981230888,2.71E-19,0.098126883,0.009628885,157.759654,10.4152785,0.098126883,0.990462946,-1.69E-20,0.100708825,0.010142268,166.1709112,9.737844767,0.100708825,0.989959565,-1.02E-20,0.069473071,0.004826508,79.07750096,10.26826808,0.069473071,0.995196676,5.99E-18,3.26E-18,-0.047649953,0.046329722,-1.25E-19,1.08E-17
styrofoam,20-scale_2_im_4_grey.png,1.020880247,0.073155745,0.005351763,17163.03038,8.089142672,0.073155745,0.994676726,-1.08E-19,0.05130537,0.002632241,43.12663591,9.29279372,0.05130537,0.99737467,-2.03E-20,0.053228944,0.00283332,46.42112265,8.78826192,0.053228944,0.997174685,-2.84E-20,0.039702886,0.001576319,25.82641292,9.197032069,0.039702886,0.998426162,-4.80E-18,-6.15E-18,0.01387573,-0.014757598,-1.23E-18,2.30E-18
styrofoam,20-scale_2_im_5_grey.png,0.967480947,0.090129285,0.008123288,15468.83353,8.467694423,0.090129285,0.991942168,4.07E-20,0.064026758,0.004099426,67.16499039,9.730602825,0.064026758,0.995917311,-3.39E-20,0.076236101,0.005811943,95.22287582,9.291973004,0.076236101,0.99422164,-9.74E-21,0.054038911,0.002920204,47.8446213,9.645599863,0.054038911,0.997088299,9.39E-18,2.43E-18,-0.058103109,0.057976195,-1.06E-18,7.30E-18
styrofoam,20-scale_2_im_6_grey.png,0.961069623,0.120863063,0.01460788,15372.49609,8.91612491,0.120863063,0.985602438,-1.90E-19,0.09985746,0.009971512,163.3732564,10.53696942,0.09985746,0.990126937,1.86E-20,0.095742858,0.009166695,150.187128,9.659102051,0.095742858,0.99091657,-3.05E-20,0.077250524,0.005967644,97.77387159,10.45644052,0.077250524,0.994067758,-7.86E-18,1.85E-18,0.013389868,-0.013076286,2.42E-20,-2.20E-17
styrofoam,20-scale_2_im_7_grey.png,1.086638806,0.097815973,0.009567965,19502.72486,8.289559382,0.097815973,0.990522714,0,0.061306471,0.003758483,61.5789927,9.607527515,0.061306471,0.99625559,5.08E-20,0.066812527,0.004463914,73.13676278,8.908844522,0.066812527,0.995555924,1.69E-20,0.044628249,0.001991681,32.6316955,9.424001115,0.044628249,0.998012278,1.50E-17,-5.66E-19,0.00918353,-0.009787349,-9.17E-19,-1.18E-17
styrofoam,20-scale_2_im_8_grey.png,1.020867322,0.087220757,0.00760746,17199.55536,8.189097326,0.087220757,0.992449976,1.36E-20,0.049779996,0.002478048,40.60033833,9.059084575,0.049779996,0.997528078,3.39E-21,0.065854029,0.004336753,71.05336409,8.993669525,0.065854029,0.995681973,-4.24E-22,0.039422267,0.001554115,25.46262207,8.966979953,0.039422267,0.998448296,-1.56E-18,-1.46E-18,-0.016618488,0.017430736,-1.01E-18,5.87E-18
styrofoam,20-scale_2_im_9_grey.png,1.05309532,0.15066361,0.022699523,18541.92479,9.100456414,0.15066361,0.977804308,0,0.104619835,0.01094531,179.3279585,10.48574724,0.104619835,0.989173193,6.10E-20,0.109546591,0.012000456,196.6154633,9.855760702,0.109546591,0.988141848,3.05E-20,0.075115174,0.005642289,92.44326797,10.3369117,0.075115174,0.994389368,-6.45E-19,2.72E-18,-0.0434881,0.042943118,-2.72E-19,8.49E-18
styrofoam,20-scale_3_im_1_grey.png,1.064865292,0.076429009,0.005841393,18674.14705,7.997008926,0.076429009,0.99419253,-1.63E-19,0.058200238,0.003387268,55.49699346,9.50615982,0.058200238,0.996624167,4.07E-20,0.058288905,0.003397596,55.66622068,8.745397094,0.058288905,0.996613908,-2.50E-20,0.047495097,0.002255784,36.9587697,9.414633226,0.047495097,0.997749293,-1.90E-18,-1.15E-17,0.009494491,-0.0101594,-5.77E-19,-9.48E-18
styrofoam,20-scale_3_im_2_grey.png,1.003957472,0.076125127,0.005795035,16608.88088,8.17903692,0.076125127,0.994238354,-1.08E-19,0.05288374,0.00279669,45.82096886,9.419603402,0.05288374,0.99721111,-3.05E-20,0.069931442,0.004890407,80.12442138,9.196531831,0.069931442,0.995133393,-8.43E-20,0.050668624,0.00256731,42.06279892,9.402613916,0.050668624,0.997439265,-8.42E-18,-1.66E-18,-0.040720963,0.04247081,-2.27E-18,2.50E-17
styrofoam,20-scale_3_im_3_grey.png,1.036965763,0.124161789,0.01541615,17870.26052,8.886156185,0.124161789,0.9848179,-1.08E-19,0.105235557,0.011074522,181.444975,10.56805751,0.105235557,0.989046779,1.22E-19,0.104812872,0.010985738,179.9903345,9.81597817,0.104812872,0.989133637,-1.51E-19,0.087003301,0.007569574,124.0199077,10.53077378,0.087003301,0.992487294,-1.69E-18,1.01E-18,-0.034898607,0.034178631,-4.16E-20,-1.24E-17
styrofoam,20-scale_3_im_4_grey.png,1.028642961,0.066564397,0.004430819,17408.60884,7.973771412,0.066564397,0.995588727,-5.42E-20,0.051525109,0.002654837,43.49684737,9.37110761,0.051525109,0.997352193,6.78E-21,0.051224835,0.002623984,42.99134948,8.72465822,0.051224835,0.997382884,-3.09E-20,0.043742657,0.00191342,31.34947328,9.267566742,0.043742657,0.998090234,-1.85E-17,9.13E-18,0.014534466,-0.016034179,8.79E-19,4.73E-18
styrofoam,20-scale_3_im_5_grey.png,0.953099629,0.081012895,0.006563089,14990.73726,8.342126789,0.081012895,0.993479704,-1.29E-19,0.063005896,0.003969743,65.04026913,9.699680681,0.063005896,0.996045954,-9.15E-20,0.074038738,0.005481735,89.81274125,9.211392322,0.074038738,0.994548151,-8.22E-20,0.0572051,0.003272423,53.61538639,9.685721335,0.0572051,0.99673825,-2.01E-17,1.45E-18,-0.041712403,0.041439443,5.16E-19,-1.54E-17
styrofoam,20-scale_3_im_6_grey.png,0.984836474,0.116974447,0.013683021,16115.0714,8.84766739,0.116974447,0.986501677,-4.88E-19,0.095688598,0.009156308,150.0169473,10.50349265,0.095688598,0.990926769,-1.54E-19,0.099961443,0.00999229,163.7136794,9.741889253,0.099961443,0.990106568,1.08E-19,0.082299423,0.006773195,110.9720261,10.47361743,0.082299423,0.993272373,-4.99E-18,-1.71E-19,0.036835924,-0.037073761,-3.53E-19,4.59E-18
styrofoam,20-scale_3_im_7_grey.png,1.083229454,0.08938744,0.007990114,19355.66707,8.179414765,0.08938744,0.992073221,2.17E-19,0.067579579,0.004567,74.82572088,9.744169952,0.067579579,0.995453763,-1.02E-20,0.068566413,0.004701353,77.02696655,8.981655162,0.068566413,0.995320646,2.84E-20,0.054277419,0.002946038,48.26788927,9.642121858,0.054277419,0.997062615,1.68E-17,-1.07E-18,0.004990351,-0.005225164,-7.71E-19,1.41E-17
styrofoam,20-scale_3_im_8_grey.png,0.911318072,0.075854771,0.005753946,13701.19496,8.066434531,0.075854771,0.994278972,-3.39E-20,0.053190228,0.0028292,46.35361784,9.05184888,0.053190228,0.997178781,1.36E-20,0.065923271,0.004345878,71.20286044,8.822659962,0.065923271,0.995672927,-1.40E-20,0.04695359,0.00220464,36.12081507,9.037127277,0.04695359,0.99780021,-7.40E-18,-4.23E-18,0.005471636,-0.005557741,-5.51E-19,-6.57E-18
styrofoam,20-scale_3_im_9_grey.png,1.023333621,0.142157723,0.020208818,17488.61775,9.07050295,0.142157723,0.980191488,2.17E-19,0.121377862,0.014732585,241.3786774,10.76547429,0.121377862,0.985481313,-1.12E-19,0.114938137,0.013210775,216.4453441,9.944411311,0.114938137,0.986961474,1.56E-19,0.094696318,0.008967393,146.9217609,10.68367714,0.094696318,0.991112307,7.85E-19,-5.18E-19,-0.054996315,0.053068096,3.94E-20,-2.65E-18
styrofoam,20-scale_4_im_1_grey.png,1.077381568,0.075556812,0.005708832,19111.27859,7.946192748,0.075556812,0.994323574,-5.42E-20,0.054643586,0.002985922,48.92133795,9.351777231,0.054643586,0.997022968,1.02E-20,0.05790044,0.003352461,54.92672049,8.5949923,0.05790044,0.99665874,4.32E-20,0.046328899,0.002146367,35.16607459,9.307093002,0.046328899,0.99785823,8.54E-18,1.66E-17,0.006354296,-0.00703027,4.09E-19,-5.76E-18
styrofoam,20-scale_4_im_2_grey.png,0.981410367,0.07263457,0.005275781,15866.95519,8.086050559,0.07263457,0.994751907,9.49E-20,0.052341192,0.0027396,44.88561323,9.165934484,0.052341192,0.997267884,-6.78E-21,0.064461199,0.004155246,68.07955402,8.946992657,0.064461199,0.995861948,-2.80E-20,0.048121941,0.002315721,37.94077662,9.124187304,0.048121941,0.997689629,-1.58E-17,-5.56E-18,-0.008039897,0.008329041,1.37E-18,2.73E-19
styrofoam,20-scale_4_im_3_grey.png,1.102477788,0.115722351,0.013391663,20133.46096,8.720383808,0.115722351,0.986785304,-2.71E-20,0.101789682,0.010361139,169.7569089,10.56072529,0.101789682,0.989745113,-6.44E-20,0.101666909,0.01033616,169.3476509,9.658863677,0.101666909,0.989769583,-1.64E-19,0.089928036,0.008087052,132.4982545,10.50427086,0.089928036,0.991977824,-2.28E-18,-1.16E-17,-0.015923385,0.016012693,-6.13E-19,1.52E-17
styrofoam,20-scale_4_im_4_grey.png,1.000874598,0.059131284,0.003496509,16469.95815,7.860123264,0.059131284,0.996515674,-5.42E-20,0.044201639,0.001953785,32.01081123,9.042042032,0.044201639,0.998050025,-3.05E-20,0.045243633,0.002046986,33.53782391,8.501283082,0.045243633,0.997957195,7.67E-20,0.039347337,0.001548213,25.3659208,8.990355243,0.039347337,0.99845418,-1.07E-17,5.53E-19,0.016665246,-0.019388693,-3.63E-19,-2.37E-17
styrofoam,20-scale_4_im_5_grey.png,0.95764591,0.078487296,0.006160256,15126.46155,8.316677251,0.078487296,0.993877461,-2.71E-20,0.056694383,0.003214253,52.66232218,9.5129668,0.056694383,0.996796045,-2.03E-20,0.06669887,0.004448739,72.88814302,9.05581427,0.06669887,0.995570964,4.66E-20,0.05199797,0.002703789,44.29887735,9.48018609,0.05199797,0.997303502,1.60E-17,5.90E-18,-0.025763431,0.027805515,7.70E-19,-6.59E-18
styrofoam,20-scale_4_im_6_grey.png,1.022634708,0.097883108,0.009581103,17291.06492,8.578903302,0.097883108,0.990509824,0,0.079525129,0.006324246,103.6164475,10.17534344,0.079525129,0.993715499,1.32E-19,0.085329037,0.007281045,119.2926336,9.502861319,0.085329037,0.992771586,1.58E-19,0.072941973,0.005320531,87.17158785,10.15504855,0.072941973,0.994707627,1.31E-17,8.80E-18,0.033597199,-0.035349812,-9.03E-19,1.09E-17
styrofoam,20-scale_4_im_7_grey.png,1.048738128,0.082593241,0.006821643,18131.73542,8.15442305,0.082593241,0.993224576,-5.42E-20,0.06327438,0.004003647,65.59575548,9.535703664,0.06327438,0.996012318,-1.36E-20,0.067354108,0.004536576,74.32725875,9.025448247,0.067354108,0.995483912,1.36E-20,0.053579803,0.002870795,47.03510957,9.481863582,0.053579803,0.997137423,1.44E-17,1.74E-17,-0.00038264,0.000397323,3.17E-19,-5.28E-18
styrofoam,20-scale_4_im_8_grey.png,0.987885359,0.07317045,0.005353915,16077.15058,8.053317744,0.07317045,0.994674597,-8.13E-20,0.052031851,0.002707313,44.35662438,9.059326508,0.052031851,0.997299996,3.05E-20,0.065145838,0.00424398,69.53337178,8.924837779,0.065145838,0.995773955,5.34E-20,0.047801644,0.002284997,37.43739331,9.053200038,0.047801644,0.997720212,6.69E-18,8.96E-18,0.006937294,-0.007158346,9.21E-21,-2.10E-17
styrofoam,20-scale_4_im_9_grey.png,1.046223958,0.1299749,0.016893475,18210.4563,8.931683749,0.1299749,0.983387174,5.42E-20,0.103982234,0.010812305,177.1488043,10.51504078,0.103982234,0.98930335,-2.03E-20,0.109563,0.012004051,196.6743714,9.87921842,0.109563,0.988138337,8.43E-20,0.086798295,0.007533944,123.4361399,10.45235077,0.086798295,0.992522392,8.74E-18,2.31E-18,-0.049424775,0.048943197,1.49E-19,-2.18E-18
styrofoam,20-scale_5_im_1_grey.png,1.100054573,0.067517749,0.004558646,19901.29597,7.749517836,0.067517749,0.995462041,-1.08E-19,0.050739896,0.002574537,42.18121492,9.271923094,0.050739896,0.997432074,3.39E-21,0.053713107,0.002885098,47.26944252,8.254165058,0.053713107,0.997123202,6.18E-20,0.044070352,0.001942196,31.8209381,9.204087071,0.044070352,0.998061569,-2.97E-18,-1.09E-17,0.000917812,-0.001002047,-2.40E-18,1.57E-17
styrofoam,20-scale_5_im_2_grey.png,1.022794596,0.070494125,0.004969422,17220.86536,7.975448571,0.070494125,0.995055151,1.08E-19,0.049771406,0.002477193,40.58632834,9.091092695,0.049771406,0.997528928,-2.03E-20,0.059020093,0.003483371,57.07155709,8.814668376,0.059020093,0.99652872,-6.65E-20,0.045363068,0.002057808,33.71512495,9.045048307,0.045363068,0.997946418,5.91E-18,7.07E-18,0.004681129,-0.005095961,1.34E-18,1.27E-17
styrofoam,20-scale_5_im_3_grey.png,1.118803136,0.099921849,0.009984376,20671.772,8.434920954,0.099921849,0.990114326,2.44E-19,0.080046121,0.006407382,104.978539,10.22746661,0.080046121,0.993633412,5.08E-20,0.085840435,0.00736858,120.7268205,9.30710004,0.085840435,0.992685318,-8.72E-20,0.073145357,0.005350243,87.65838524,10.17154144,0.073145357,0.99467823,1.12E-17,-4.41E-18,-0.011074868,0.011780225,-8.54E-20,1.28E-17
styrofoam,20-scale_5_im_4_grey.png,1.081243298,0.058382448,0.00340851,19210.16758,7.527027488,0.058382448,0.996603068,0,0.042492061,0.001805575,29.58254517,9.023358766,0.042492061,0.998197679,1.36E-20,0.044338205,0.001965876,32.20891965,8.035867957,0.044338205,0.998037981,-1.41E-20,0.03772648,0.001423287,23.31913879,8.975079204,0.03772648,0.998578736,1.20E-17,-1.54E-17,0.007304356,-0.008539346,-1.64E-18,1.42E-17
styrofoam,20-scale_5_im_5_grey.png,0.986269723,0.072756482,0.005293506,16023.90379,8.132465123,0.072756482,0.994734368,-2.17E-19,0.050954904,0.002596402,42.53945406,9.13363316,0.050954904,0.997410322,-2.71E-20,0.058898431,0.003469025,56.83650903,8.841199938,0.058898431,0.996542967,-5.32E-20,0.045703617,0.002088821,34.22323722,9.109850482,0.045703617,0.997915533,1.28E-17,7.99E-18,-0.019563577,0.021676084,2.26E-18,1.26E-17
styrofoam,20-scale_5_im_6_grey.png,1.050058402,0.089165862,0.007950551,18195.6313,8.383320092,0.089165862,0.992112162,0,0.070029722,0.004904162,80.34978854,9.961562539,0.070029722,0.995119772,-4.40E-20,0.073907442,0.00546231,89.49448674,9.255584728,0.073907442,0.994567365,-9.53E-20,0.063429203,0.004023264,65.91715494,9.901351296,0.063429203,0.995992858,4.61E-18,-8.23E-18,0.020824732,-0.022756041,-1.90E-20,7.32E-18
styrofoam,20-scale_5_im_7_grey.png,1.114041437,0.073889565,0.005459668,20423.44228,7.868798984,0.073889565,0.994569978,-5.42E-20,0.060132226,0.003615885,59.24265283,9.568724331,0.060132226,0.996397143,-1.69E-20,0.059562949,0.003547745,58.12625144,8.491575033,0.059562949,0.996464797,-8.51E-20,0.050394704,0.002539626,41.60923491,9.505541598,0.050394704,0.997466807,3.01E-17,3.87E-18,0.004915106,-0.005109959,7.35E-19,8.47E-18
styrofoam,20-scale_5_im_8_grey.png,0.951146982,0.069858803,0.004880252,14902.24471,7.908792792,0.069858803,0.995143449,8.13E-20,0.053184527,0.002828594,46.3436832,8.894703825,0.053184527,0.997179384,-1.36E-20,0.062263526,0.003876747,63.51661669,8.6665618,0.062263526,0.996138225,-2.69E-20,0.04818164,0.00232147,38.03497116,8.891647085,0.04818164,0.997683906,-2.96E-17,-1.54E-19,0.011383347,-0.011570542,-9.66E-19,-8.05E-18
styrofoam,20-scale_5_im_9_grey.png,1.035645967,0.120698945,0.014568235,17811.55111,8.83376439,0.120698945,0.985640951,5.42E-20,0.089580321,0.008024634,131.4756017,10.32845454,0.089580321,0.992039248,-7.45E-20,0.100851482,0.010171021,166.6420146,9.734295534,0.100851482,0.989931387,2.84E-20,0.077568369,0.006016852,98.58009996,10.27155545,0.077568369,0.994019134,5.73E-19,3.93E-19,-0.034125331,0.035364711,4.60E-19,9.53E-18
styrofoam,20-scale_6_im_1_grey.png,1.118662397,0.062073496,0.003853119,20566.15815,7.657226145,0.062073496,0.996161671,-1.08E-19,0.048194963,0.002322754,38.05600923,9.125068994,0.048194963,0.997682628,0,0.04878288,0.002379769,38.99014225,7.951135955,0.04878288,0.99762588,-5.08E-21,0.041289064,0.001704787,27.93122645,9.060161566,0.041289064,0.998298115,2.55E-18,9.27E-19,-0.000785938,0.000856762,1.85E-19,-2.94E-17
styrofoam,20-scale_6_im_2_grey.png,1.019472848,0.065004697,0.004225611,17097.53136,7.878883706,0.065004697,0.99579217,-1.36E-20,0.047321395,0.002239314,36.68892734,8.927756227,0.047321395,0.997765689,-4.07E-20,0.054116177,0.002928561,47.98153787,8.616768424,0.054116177,0.997079991,2.37E-20,0.042478115,0.00180439,29.56312957,8.875162565,0.042478115,0.99819886,4.41E-18,-7.60E-19,0.014183417,-0.015293475,-6.09E-19,-1.44E-17
styrofoam,20-scale_6_im_3_grey.png,1.137114162,0.09609538,0.009234322,21336.276,8.380290015,0.09609538,0.990850171,-1.63E-19,0.072639161,0.005276448,86.44931949,10.11017615,0.072639161,0.994751247,-4.07E-20,0.079555123,0.006329018,103.6946251,9.141800548,0.079555123,0.993710787,6.99E-20,0.067163285,0.004510907,73.90669742,10.07516944,0.067163285,0.99550935,1.33E-18,1.13E-17,0.003178019,-0.003549375,-4.31E-19,2.56E-18
styrofoam,20-scale_6_im_4_grey.png,1.098160329,0.055510406,0.003081405,19808.8706,7.405071888,0.055510406,0.996928061,1.36E-19,0.040531977,0.001642841,26.91630911,8.832734668,0.040531977,0.998359853,1.02E-20,0.042412043,0.001798781,29.47123414,7.732538848,0.042412043,0.998204448,4.53E-20,0.035526866,0.001262158,20.67920031,8.774578946,0.035526866,0.998739433,-2.21E-17,-1.47E-17,0.012929868,-0.014833322,1.93E-18,-7.03E-18
styrofoam,20-scale_6_im_5_grey.png,0.973152191,0.075673684,0.005726506,15609.88373,8.223681779,0.075673684,0.9943061,-7.12E-20,0.048142452,0.002317696,37.97312572,8.979192562,0.048142452,0.997687664,6.78E-21,0.057553097,0.003312359,54.26968858,8.786693128,0.057553097,0.996698577,-2.03E-20,0.043281556,0.001873293,30.69203383,8.95023691,0.043281556,0.99813021,1.09E-17,-1.25E-17,-0.01581213,0.018691373,1.52E-18,3.85E-18
styrofoam,20-scale_6_im_6_grey.png,1.11777248,0.084416283,0.007126109,20587.17473,8.185519003,0.084416283,0.992924313,-2.98E-19,0.062499155,0.003906144,63.9982699,9.871071869,0.062499155,0.996109054,-6.78E-21,0.066806004,0.004463042,73.12248366,8.865664561,0.066806004,0.995556788,-2.41E-20,0.056057759,0.003142472,51.48626682,9.8155892,0.056057759,0.996867372,3.85E-18,1.00E-17,0.012243409,-0.013876332,2.59E-19,2.04E-17
styrofoam,20-scale_6_im_7_grey.png,1.054095818,0.070597135,0.004983955,18286.21433,7.923491064,0.070597135,0.995040761,-8.13E-20,0.055950666,0.003130477,51.28973472,9.308270024,0.055950666,0.996879292,3.39E-20,0.055654165,0.003097386,50.74757401,8.635269385,0.055654165,0.996912178,-8.52E-20,0.04715615,0.002223702,36.4331411,9.198135452,0.04715615,0.997781231,2.10E-17,3.48E-18,0.010003918,-0.010695291,3.22E-18,-7.42E-18
styrofoam,20-scale_6_im_8_grey.png,1.00461713,0.062950241,0.003962733,16600.5688,7.803850122,0.062950241,0.996052908,2.71E-20,0.051038591,0.002604938,42.67930027,8.985437472,0.051038591,0.99740183,3.05E-20,0.056725996,0.003217839,52.72106882,8.692020349,0.056725996,0.996792483,5.46E-20,0.045898008,0.002106627,34.51497885,8.950584143,0.045898008,0.997897801,3.56E-18,-4.95E-18,0.008828157,-0.008810092,-1.21E-18,1.56E-17
styrofoam,20-scale_6_im_9_grey.png,1.072427428,0.112882224,0.012742396,19052.01946,8.702380182,0.112882224,0.987417929,-1.08E-19,0.090886296,0.008260319,135.3370627,10.34060291,0.090886296,0.991807355,-7.79E-20,0.09120232,0.008317863,136.2798693,9.550511074,0.09120232,0.991750753,-1.72E-19,0.078872931,0.006220939,101.9238677,10.29261419,0.078872931,0.993817522,9.99E-18,-4.03E-18,-0.014822579,0.015921098,-1.09E-19,4.83E-18
styrofoam,20-scale_7_im_1_grey.png,1.085764208,0.058631246,0.003437623,19371.15609,7.492435184,0.058631246,0.996574154,-2.71E-20,0.0424884,0.001805264,29.57744714,8.836865956,0.0424884,0.998197989,3.39E-21,0.047301754,0.002237456,36.65847751,7.985809862,0.047301754,0.997767539,1.69E-20,0.038054091,0.001448114,23.72589773,8.772831661,0.038054091,0.99855398,-2.07E-17,-5.32E-18,0.009057813,-0.010055559,-3.68E-19,-8.00E-18
styrofoam,20-scale_7_im_2_grey.png,1.019324927,0.066847526,0.004468592,17096.57127,7.924455786,0.066847526,0.995551288,-4.74E-20,0.04259796,0.001814586,29.7301807,8.731352387,0.04259796,0.998188701,4.40E-20,0.052302281,0.002735529,44.81890042,8.503211247,0.052302281,0.997271934,-9.32E-21,0.039102728,0.001529023,25.05151865,8.691027646,0.039102728,0.998473311,-8.78E-18,-3.76E-18,0.010729708,-0.012588409,2.03E-18,1.24E-18
